Date,Open,High,Low,Close,Volume,Adj Close,,Adj Close 364 days ago,Diff with a year ago,Diff-percent
28/12/15,206.089996,206.449997,205.149994,206.339996,3710800,206.339996,29/12/14,205.728082,0.61191,0.002974
24/12/15,206.979996,207.539993,206.639999,206.830002,2254700,206.830002,25/12/14,205.375757,1.45425,0.007081
23/12/15,207.080002,208.460007,206.940002,208.440002,5300100,207.253002,24/12/14,204.827684,2.42532,0.011841
22/12/15,205.039993,206.229996,203.910004,205.850006,4574300,204.677755,23/12/14,204.756245,-0.07849,-0.000383
21/12/15,203.830002,204.229996,202.429993,203.960007,3705000,202.798518,22/12/14,204.434973,-1.63646,-0.008005
18/12/15,205.130005,205.229996,202.139999,202.220001,7050500,201.068422,19/12/14,203.480887,-2.41247,-0.011856
17/12/15,209.589996,209.679993,206,206.080002,6569100,204.906441,18/12/14,202.604702,2.30174,0.011361
16/12/15,207.619995,209.580002,205.919998,209.169998,5650100,207.97884,17/12/14,197.756446,10.22239,0.051692
15/12/15,205.869995,207.25,205.679993,206.190002,4734900,205.015815,16/12/14,193.988812,11.02700,0.056843
14/12/15,203.220001,204.179993,201.100006,204.179993,8135300,203.017251,15/12/14,195.507556,7.50969,0.038411
11/12/15,204.589996,205.259995,202.630005,202.889999,8088900,201.734604,12/12/14,196.89972,4.83488,0.024555
10/12/15,206.610001,208.580002,206.300003,207.009995,6195600,205.831137,11/12/14,200.102681,5.72846,0.028628
09/12/15,207.380005,209.850006,205.360001,206.490005,5733400,205.314109,10/12/14,199.18756,6.12655,0.030758
08/12/15,207.669998,209.199997,206.940002,208.130005,7065500,206.94477,09/12/14,202.34184,4.60293,0.022748
07/12/15,210.399994,210.449997,208.369995,209.5,5875100,208.306963,08/12/14,202.478136,5.82883,0.028787
04/12/15,207.25,211.169998,207.089996,210.800003,6690300,209.599563,05/12/14,203.89952,5.70004,0.027955
03/12/15,210.029999,210.339996,205.910004,206.759995,5916800,205.582561,04/12/14,203.519838,2.06272,0.010135
02/12/15,211.839996,212.199997,209.410004,209.740005,3847000,208.545602,03/12/14,203.763224,4.78238,0.023470
01/12/15,210.639999,212.029999,210.309998,211.929993,4190400,210.723118,02/12/14,202.964909,7.75821,0.038224
30/11/15,211,211.080002,209.75,209.869995,5284800,208.674851,01/12/14,201.699296,6.97555,0.034584
27/11/15,210.600006,210.990005,210.059998,210.710007,1062400,209.510079,28/11/14,203.06227,6.44781,0.031753
25/11/15,210.729996,210.929993,210.25,210.529999,1887000,209.331096,26/11/14,203.510093,5.82100,0.028603
24/11/15,208.960007,211.009995,208.610001,210.520004,3222000,209.321159,25/11/14,203.023319,6.29784,0.031020
23/11/15,210.479996,211.169998,209.710007,210.220001,2329200,209.022864,24/11/14,203.159615,5.86325,0.028860
20/11/15,210.660004,211.320007,210.059998,210.619995,5014100,209.42058,21/11/14,202.536546,6.88403,0.033989
19/11/15,209.789993,210.240005,209.399994,209.669998,3369100,208.475993,20/11/14,201.446179,7.02981,0.034897
18/11/15,207.199997,210.089996,207.169998,209.869995,4701900,208.674851,19/11/14,201.134652,7.54020,0.037488
17/11/15,207.139999,208.199997,206.039993,206.550003,8067600,205.373765,18/11/14,201.436449,3.93732,0.019546
16/11/15,203.410004,206.820007,203.309998,206.820007,4713700,205.642232,17/11/14,200.219516,5.42272,0.027084
13/11/15,205.460007,205.820007,203.570007,203.669998,6866500,202.510161,14/11/14,200.141631,2.36853,0.011834
12/11/15,207.649994,208.220001,205.970001,205.970001,4298500,204.797066,13/11/14,200.054015,4.74305,0.023709
11/11/15,210.080002,210.110001,208.839996,208.910004,2044600,207.720327,12/11/14,199.92745,7.79288,0.038979
10/11/15,208.690002,209.779999,208.360001,209.720001,3550100,208.525711,11/11/14,200.083221,8.44249,0.042195
09/11/15,210.479996,210.619995,208.130005,209.210007,3548900,208.018621,10/11/14,199.869039,8.14958,0.040775
06/11/15,210.929993,211.509995,209.660004,211.240005,3182700,210.03706,07/11/14,199.343316,10.69374,0.053645
05/11/15,211.649994,212.199997,210.279999,211.320007,2726800,210.116606,06/11/14,199.090199,11.02641,0.055384
04/11/15,212.509995,212.690002,210.940002,211.580002,3355600,210.37512,05/11/14,198.340565,12.03456,0.060676
