Date,Open,High,Low,Close,Volume,Adj Close,,Adj Close 364 days ago,Diff with a year ago,Diff-percent
28/12/15,204.860001,205.259995,203.940002,205.210007,64967100,205.210007,29/12/14,204.500047,0.70996,0.003472
24/12/15,205.720001,206.330002,205.419998,205.679993,48542200,205.679993,25/12/14,204.22571,1.45428,0.007121
23/12/15,204.690002,206.070007,204.580002,206.020004,110987200,206.020004,24/12/14,203.569258,2.45075,0.012039
22/12/15,202.720001,203.850006,201.550003,203.5,111026200,203.5,23/12/14,203.549658,-0.04966,-0.000244
21/12/15,201.410004,201.880005,200.089996,201.669998,99094300,201.669998,22/12/14,203.27532,-1.60532,-0.007897
18/12/15,202.770004,202.929993,199.830002,200.020004,251393500,200.020004,19/12/14,202.344531,-2.32453,-0.011488
17/12/15,208.399994,208.479996,204.839996,204.860001,173092500,203.648,18/12/14,201.487216,2.16078,0.010724
16/12/15,206.369995,208.389999,204.800003,208.029999,197017000,206.799244,17/12/14,196.624936,10.17431,0.051745
15/12/15,204.699997,206.110001,202.869995,205.029999,154069600,203.816993,16/12/14,192.844259,10.97273,0.056899
14/12/15,202.070007,203.050003,199.949997,202.899994,182385200,201.699589,15/12/14,194.403297,7.29629,0.037532
11/12/15,203.350006,204.139999,201.509995,201.880005,211173300,200.685635,12/12/14,195.747979,4.93766,0.025225
10/12/15,205.419998,207.429993,205.139999,205.869995,116128900,204.652019,11/12/14,198.963514,5.68850,0.028591
09/12/15,206.190002,208.679993,204.179993,205.339996,162401500,204.125156,10/12/14,197.959879,6.16528,0.031144
08/12/15,206.490005,208.289993,205.779999,206.949997,103372400,205.725632,09/12/14,201.185153,4.54048,0.022569
07/12/15,209.229996,209.729996,207.199997,208.350006,102027100,207.117358,08/12/14,201.321569,5.79579,0.028789
04/12/15,205.610001,209.970001,205.610001,209.619995,192913900,208.379833,05/12/14,202.67599,5.70384,0.028143
03/12/15,208.830002,209.149994,204.75,205.610001,166224200,204.393563,04/12/14,202.344696,2.04887,0.010126
02/12/15,210.619995,211,208.229996,208.529999,108441300,207.296286,03/12/14,202.568805,4.72748,0.023338
01/12/15,209.440002,210.820007,209.110001,210.679993,97858400,209.43356,02/12/14,201.789279,7.64428,0.037882
30/11/15,209.75,209.889999,208.559998,208.690002,112822700,207.455343,01/12/14,200.49332,6.96202,0.034724
27/11/15,209.429993,209.800003,208.860001,209.559998,37317800,208.320191,28/11/14,201.896464,6.42373,0.031817
25/11/15,209.5,209.740005,209.009995,209.320007,51980100,208.08162,26/11/14,202.325204,5.75642,0.028451
24/11/15,207.869995,209.830002,207.410004,209.350006,98874400,208.111442,25/11/14,201.808771,6.30267,0.031231
23/11/15,209.380005,209.979996,208.520004,209.070007,64931200,207.833099,24/11/14,201.954926,5.87817,0.029106
20/11/15,209.449997,210.119995,208.860001,209.309998,94011500,208.07167,21/11/14,201.38977,6.68190,0.033179
19/11/15,208.589996,209.050003,208.199997,208.550003,88220500,207.316172,20/11/14,200.317935,6.99824,0.034936
18/11/15,206.039993,208.899994,205.990005,208.729996,121342500,207.495099,19/11/14,199.967149,7.52795,0.037646
17/11/15,205.990005,207.039993,204.880005,205.470001,121123700,204.254392,18/11/14,200.288704,3.96569,0.019800
16/11/15,202.320007,205.690002,202.179993,205.619995,117645200,204.403498,17/11/14,199.1389,5.26460,0.026437
13/11/15,204.350006,204.669998,202.440002,202.539993,153577100,201.341719,14/11/14,199.012237,2.32948,0.011705
12/11/15,206.5,207.059998,204.820007,204.839996,121315200,203.628114,13/11/14,198.963514,4.66460,0.023444
11/11/15,208.880005,208.940002,207.660004,207.740005,67846000,206.510966,12/11/14,198.739405,7.77156,0.039104
10/11/15,207.509995,208.600006,207.190002,208.559998,75874600,207.326107,11/11/14,198.95376,8.37235,0.042082
09/11/15,209.309998,209.490005,206.949997,208.080002,131008700,206.848951,10/11/14,198.758883,8.09007,0.040703
06/11/15,209.740005,210.320007,208.460007,210.039993,110471500,208.797347,07/11/14,198.135265,10.66208,0.053812
05/11/15,210.429993,210.979996,209.089996,210.149994,78408700,208.906697,06/11/14,197.950126,10.95657,0.055350
04/11/15,211.350006,211.5,209.720001,210.360001,96224500,209.115461,05/11/14,197.160861,11.95460,0.060634
03/11/15,209.970001,211.660004,209.699997,211,95246100,209.751674,04/11/14,195.923379,13.82830,0.070580
02/11/15,208.320007,210.619995,208.169998,210.389999,86270800,209.145282,03/11/14,196.605459,12.53982,0.063782
30/10/15,209.059998,209.440002,207.740005,207.929993,131076900,206.699829,31/10/14,196.498274,10.20156,0.051917
29/10/15,208.350006,209.270004,208.210007,208.830002,90525500,207.594514,30/10/14,194.276634,13.31788,0.068551
28/10/15,207,208.979996,206.210007,208.949997,135906700,207.713799,29/10/14,193.039137,14.67466,0.076019
27/10/15,206.199997,207,205.789993,206.600006,77905800,205.377711,28/10/14,193.331461,12.04625,0.062309
26/10/15,207.300003,207.369995,206.559998,207,69033000,205.775339,27/10/14,191.139053,14.63629,0.076574
